latency,throughput,packet_Loss,bandwidth,jitter,network_speed,error_rate,anomaly_score,anomaly_flag
138.4190326,252.3623323,0.169106359,52.53437633,1.445222237,886.0063921,0.1744865,6.471325937770665,1.0
163.9821731,969.10974,3.982223033,840.5319783,5.77116088,447.8618492,3.224536667,2.9613526237331325,0.0
187.863898,390.3131582,7.146165721,703.2167245,7.699682274,734.1069034,0.587318404,3.302464048173197,0.0
144.4283215,539.2572561,8.773974337,525.1074778,5.386304632,831.6751388,1.792134047,2.276423511521555,0.0
176.860781,269.4000405,4.453402863,358.2943731,4.185329953,477.1774747,2.054998563,2.170170665845889,0.0
34.79844986,88.37784409,2.632590894,174.1199947,9.451916729,625.8009751,0.557767355,4.728786622974525,0.0
24.75996952,169.0020738,7.661830109,152.0877411,9.194265917,150.764943,3.269255241,4.521921479941355,0.0
34.01644848,637.5547076,3.455001004,595.5285075,2.717927555,607.0490674,1.660172266,1.9070306544916125,0.0
132.4257347,766.9456835,8.335122135,103.9023835,5.225452692,553.5421562,0.654633376,3.0128249811367818,0.0
139.5215668,383.1608123,9.068403923,819.4538771,2.151228586,284.0123961,2.937281653,2.0256865791149945,0.0
15.11648869,889.2212014,1.407091255,767.8064763,5.595363493,676.3733625,2.971253209,3.528227477776958,0.0
117.1816744,705.6025967,8.030714888,271.0047152,0.345848861,775.9613691,3.758755449,3.7921851735221974,0.0
77.83407999,490.7800776,1.270906836,803.8407141,1.386187327,465.095813,0.318773661,3.3067401499981943,0.0
84.20013584,818.7053205,3.157670405,224.4602786,4.650002172,659.9329567,4.629200271,2.8620498166611874,0.0
22.99961536,877.5388678,2.246649208,417.8494069,7.702008664,732.8587781,1.229324845,3.425807858548937,0.0
32.21252035,935.1658021,5.525595195,912.8542358,7.566215141,894.3134016,2.013886977,3.878871380908396,0.0
196.4106303,304.1670209,7.829944912,19.09852879,0.634922405,180.2721456,1.971456616,5.878055939910629,1.0
92.30407567,737.937765,1.375392079,241.0945514,9.868335782,276.403077,0.832081429,3.714644894414496,0.0
20.12176679,425.405224,4.028511833,198.2846616,3.543835424,523.4339353,3.512660805,2.4464475011894207,0.0
138.4190326,252.3623323,0.169106359,52.53437633,1.445222237,886.0063921,0.1744865,6.471325937770665,1.0
163.9821731,969.10974,3.982223033,840.5319783,5.77116088,447.8618492,3.224536667,2.9613526237331325,0.0
187.863898,390.3131582,7.146165721,703.2167245,7.699682274,734.1069034,0.587318404,3.302464048173197,0.0
144.4283215,539.2572561,8.773974337,525.1074778,5.386304632,831.6751388,1.792134047,2.276423511521555,0.0
176.860781,269.4000405,4.453402863,358.2943731,4.185329953,477.1774747,2.054998563,2.170170665845889,0.0
34.79844986,88.37784409,2.632590894,174.1199947,9.451916729,625.8009751,0.557767355,4.728786622974525,0.0
24.75996952,169.0020738,7.661830109,152.0877411,9.194265917,150.764943,3.269255241,4.521921479941355,0.0
34.01644848,637.5547076,3.455001004,595.5285075,2.717927555,607.0490674,1.660172266,1.9070306544916125,0.0
132.4257347,766.9456835,8.335122135,103.9023835,5.225452692,553.5421562,0.654633376,3.0128249811367818,0.0
139.5215668,383.1608123,9.068403923,819.4538771,2.151228586,284.0123961,2.937281653,2.0256865791149945,0.0
15.11648869,889.2212014,1.407091255,767.8064763,5.595363493,676.3733625,2.971253209,3.528227477776958,0.0
117.1816744,705.6025967,8.030714888,271.0047152,0.345848861,775.9613691,3.758755449,3.7921851735221974,0.0
77.83407999,490.7800776,1.270906836,803.8407141,1.386187327,465.095813,0.318773661,3.3067401499981943,0.0
84.20013584,818.7053205,3.157670405,224.4602786,4.650002172,659.9329567,4.629200271,2.8620498166611874,0.0
138.4190326,252.3623323,0.169106359,52.53437633,1.445222237,886.0063921,0.1744865,6.471325937770665,1.0
163.9821731,969.10974,3.982223033,840.5319783,5.77116088,447.8618492,3.224536667,2.9613526237331325,0.0
187.863898,390.3131582,7.146165721,703.2167245,7.699682274,734.1069034,0.587318404,3.302464048173197,0.0
144.4283215,539.2572561,8.773974337,525.1074778,5.386304632,831.6751388,1.792134047,2.276423511521555,0.0
176.860781,269.4000405,4.453402863,358.2943731,4.185329953,477.1774747,2.054998563,2.170170665845889,0.0
34.79844986,88.37784409,2.632590894,174.1199947,9.451916729,625.8009751,0.557767355,4.728786622974525,0.0
24.75996952,169.0020738,7.661830109,152.0877411,9.194265917,150.764943,3.269255241,4.521921479941355,0.0
